# AUTHORS
# 
# (c) 
#     Aleksander Pohl apohllo@o2.pl
#     Jakub Perlinski 
# 
# LICENSE
#
# This work is distributed under Creative Commons Attribution 3.0 Unported (CC BY 3.0).
# http://creativecommons.org/licenses/by/3.0/
# 
# This work is an extension of OpenCyc Knowledge Base distributed under Apache 2.0 license.
# http://www.opencyc.org/license
# 
# Format: Cyc Concept external ID	Polish mapping	Concept name
Mx4rvViizpwpEbGdrcN5Y29ycA	algol	ALGOL
Mx4rE8XQCOVxQdeamuRE7u66wQ	zasieki	Abatis
Mx4rGphw-inAQdiM5KzBxwwzkw	opactwo	Abbey
Mx4rwGPa8pwpEbGdrcN5Y29ycA	skrót	Abbreviation
Mx4riAFSZrggEdmAAAACs6hRjg	abdykowanie	Abdicating
Mx4rvVjgyZwpEbGdrcN5Y29ycA	brzuch	Abdomen
Mx4rvYhWCZwpEbGdrcN5Y29ycA	aorta brzuszna	AbdominalAorta
Mx4rvZR1TJwpEbGdrcN5Y29ycA	jama brzuszna	AbdominalCavity
Mx4rvuhmBZwpEbGdrcN5Y29ycA	przyrząd do ćwiczenia mięśni brzucha	AbdominalExerciseDevice
Mx4rvjl41ZwpEbGdrcN5Y29ycA	nerw odwodzący	AbducensNerve
Mx4rBZ7CSpnAEdqAAAACs6hRXg	abdukcja	AbductiveInferenceProcess
Mx4rvVi2s5wpEbGdrcN5Y29ycA	ablacja	Ablation
Mx4rv0ZsHpwpEbGdrcN5Y29ycA	abolicjonizm	Abolitionism
Mx4rvcSj7ZwpEbGdrcN5Y29ycA	yeti	AbominableSnowman
Mx4rwP1qEpwpEbGdrcN5Y29ycA	aborcja	Abortion-Intentional
Mx4rvvabn5wpEbGdrcN5Y29ycA	absynt	Absinthe
Mx4rlK-pWMitQdiAaetkT79xjg	bezwzględna nazwa ścieżki	AbsolutePathname
Mx4rvViENpwpEbGdrcN5Y29ycA	absorbowanie	AbsorptionEvent
Mx4rHusyzjAdQdiPM5DX_mhpQA	abstynencja	Abstinence
Mx4rWVUQ8O2EEdyAAAACs6hbjw	abisal	AbyssalZone
Mx4rwGCnbpwpEbGdrcN5Y29ycA	kot abisyński	Abyssinian-Cat
Mx4rvVi165wpEbGdrcN5Y29ycA	akacja	Acacia
Mx4rv7v7sJwpEbGdrcN5Y29ycA	akademicka analiza dzieła literackiego	AcademicBookReport
Mx4rwQq3eJwpEbGdrcN5Y29ycA	praca akademicka	AcademicComposition
Mx4rvViWRJwpEbGdrcN5Y29ycA	wydział uczelni	AcademicDepartment
Mx4rvxfXtJwpEbGdrcN5Y29ycA	esej akademicki	AcademicEssay
Mx4rwPRzDpwpEbGdrcN5Y29ycA	toga akademicka	AcademicGown
Mx4rvm5yiJwpEbGdrcN5Y29ycA	organizacja akademicka	AcademicOrganization
Mx4rvVidtpwpEbGdrcN5Y29ycA	pracownik naukowy	AcademicProfessional
Mx4rvViUQZwpEbGdrcN5Y29ycA	kwartał akademicki	AcademicQuarter
Mx4rvVjqMJwpEbGdrcN5Y29ycA	semestr akademicki	AcademicSemester
Mx4rEoWnqmC9QdiX4oI85208gA	okres akademicki	AcademicTerm
Mx4rwH9TTJwpEbGdrcN5Y29ycA	kolokwium	AcademicTest
Mx4rvt-JvpwpEbGdrcN5Y29ycA	test akademicki	AcademicTesting
Mx4rvVjqc5wpEbGdrcN5Y29ycA	trymestr akademicki	AcademicTrimester
Mx4rvVjxiJwpEbGdrcN5Y29ycA	rok akademicki	AcademicYear
Mx4rwTPRbZwpEbGdrcN5Y29ycA	klauzula przyspieszenia	AccelerationClause
Mx4rvVkMAZwpEbGdrcN5Y29ycA	przyjmowanie	Accepting-CommunicationAct
Mx4rv3ls45wpEbGdrcN5Y29ycA	numer dostępu	AccessNumber
Mx4rAupEguX3QdabCOR1il2XMg	uzyskiwanie dostępu do konta komputerowego	AccessingAComputerAccount
Mx4rwKWcUJwpEbGdrcN5Y29ycA	uzyskiwanie dostępu do pliku	AccessingAFile
Mx4rvtHXDJwpEbGdrcN5Y29ycA	uzyskiwanie dostępu do pliku tylko do odczytu	AccessingAFile-ReadOnly
Mx4rwTEwI5wpEbGdrcN5Y29ycA	nerw dodatkowy	AccessoryNerve
Mx4rvViib5wpEbGdrcN5Y29ycA	wypadek	Accident
Mx4r5QoG6LydEdmAAAACs6hRjg	utrzymanie	Accommodating-HelpingAnAgent
Mx4rbVd-QitNQdiM6YN2E_36IA	akordeon	Accordion
Mx4rTXWNgDjCEd2AAADggVbxzQ	konto	Account
Mx4rvViMK5wpEbGdrcN5Y29ycA	konto	Account-LegalAgreement
Mx4raeVmWHS-EdaAAACgyZzFrg	aktywne konto	AccountActive
Mx4rvVjDS5wpEbGdrcN5Y29ycA	opiekun klienta	AccountManager
Mx4rvkAvdJwpEbGdrcN5Y29ycA	konto operatora kont	AccountOperatorAccount
Mx4rb5x11nS6EdaAAACgyZzFrg	konto oczekujące	AccountPending
Mx4rvhAUBZwpEbGdrcN5Y29ycA	system kont	AccountSystem
Mx4rvViL6JwpEbGdrcN5Y29ycA	typ konta	AccountType
Mx4rVYGR0HSxEdaAAACgyZzFrg	typ konta w zależności od statusu	AccountTypeByStatus
Mx4rvVkB3ZwpEbGdrcN5Y29ycA	księgowy	Accountant
Mx4rvVj6-pwpEbGdrcN5Y29ycA	pracownik działu księgowego	AccountingClerk
Mx4rvVj6tpwpEbGdrcN5Y29ycA	dział księgowości	AccountingDepartment
Mx4rvViLNJwpEbGdrcN5Y29ycA	biuro rachunkowe	AccountingFirm
Mx4rvVkA7pwpEbGdrcN5Y29ycA	program księgowy	AccountingProgram
Mx4rvVkFB5wpEbGdrcN5Y29ycA	raport księgowy	AccountingReport
Mx4rv08WIZwpEbGdrcN5Y29ycA	dział rozliczeń	AccountsPayableDepartment
Mx4rvVjPZJwpEbGdrcN5Y29ycA	pracownik działu rozliczeń	AccountsPayableWorker
Mx4rv5bymZwpEbGdrcN5Y29ycA	dział wierzytelności	AccountsReceivableDepartment
Mx4rwQr_MJwpEbGdrcN5Y29ycA	akredytacja	Accreditation
Mx4rdbF-qmP9QdmAtafc3L1b9A	naliczanie odsetek	AccruingInterest
Mx4r-RffBLHSEdmAhAACs6hRjg	akumulowanie	AccumulatingSteadily
Mx4rMKGOCrvMEdmAAAACs6hRjg	akumulacja kapitału	Accumulation-Profits
Mx4rvWFOSJwpEbGdrcN5Y29ycA	oskarżanie	Accusing
Mx4rwJlP9ZwpEbGdrcN5Y29ycA	panewka stawu biodrowego	Acetabulum
Mx4rvVi9Q5wpEbGdrcN5Y29ycA	paracetamol	Acetaminophen
