# AUTHORS
# 
# (c) 
#     Aleksander Pohl apohllo@o2.pl
#     Jakub Perlinski 
# 
# LICENSE
#
# This work is distributed under Creative Commons Attribution 3.0 Unported (CC BY 3.0).
# http://creativecommons.org/licenses/by/3.0/
# 
# This work is an extension of OpenCyc Knowledge Base distributed under Apache 2.0 license.
# http://www.opencyc.org/license
# 
# Format: Cyc Concept external ID	Polish mapping	Concept name
Mx4rwH3pQJwpEbGdrcN5Y29ycA	Adwentyzm Dnia Siódmego	SeventhDayAdventistReligion
Mx4rwAgs6ZwpEbGdrcN5Y29ycA	Afrodyta	Venus-TheGoddess
Mx4rvi4gFZwpEbGdrcN5Y29ycA	Afrodyta	Aphrodite-TheGoddess
Mx4rvVjtJ5wpEbGdrcN5Y29ycA	Afryka	ContinentOfAfrica
Mx4rveJ8JpwpEbGdrcN5Y29ycA	Afryka północna	NorthernAfrica
Mx4rvujpA5wpEbGdrcN5Y29ycA	Ajurweda	Ayurveda
Mx4rSRSE6Do5QdmWQ9pMZEAImA	Alternatywny Rynek Inwestycyjny	AlternativeInvestmentMarket
Mx4rvVjR_5wpEbGdrcN5Y29ycA	Amazonka	AmazonRiver
Mx4rwBi0VZwpEbGdrcN5Y29ycA	Amazonka	Amazon-Warrior
Mx4rv_joCJwpEbGdrcN5Y29ycA	Amerykański Kwit Depozytowy	AmericanDepositoryReceipt
Mx4rvViKq5wpEbGdrcN5Y29ycA	Anaksymander	Anaximander
Mx4rvVi7HpwpEbGdrcN5Y29ycA	Anglik	EnglishPerson
Mx4rwEj3JpwpEbGdrcN5Y29ycA	Apollo	Apollo-God
Mx4rvpFmspwpEbGdrcN5Y29ycA	Apollo	ApolloSpacecraft
Mx4rvViMapwpEbGdrcN5Y29ycA	Arizona	Arizona-State
Mx4rvhxoMJwpEbGdrcN5Y29ycA	Arkadia	Arkadhia-DepartmentGreece
